α,0x1fb3
0x1f00,0x1f80
0x1f01,0x1f81
0x1f70,0x1fb2
ά,0x1fb4
0x1fb6,0x1fb7
0x1f02,0x1f82
0x1f03,0x1f83
0x1f04,0x1f84
0x1f06,0x1f86
0x1f07,0x1f87
η,0x1fc3
0x1f20,0x1f90
0x1f21,0x1f91
0x1f74,0x1fc2
ή,0x1fc4
0x1fc6,0x1fc7
0x1f22,0x1f92
0x1f23,0x1f93
0x1f24,0x1f94
0x1f26,0x1f96
0x1f27,0x1f97
ω,0x1ff3
0x1f60,0x1fa0
0x1f61,0x1fa1
0x1f7c,0x1ff2
ώ,0x1ff4
0x1ff6,0x1ff7
0x1f62,0x1fa2
0x1f63,0x1fa3
0x1f64,0x1fa4
0x1f66,0x1fa6
0x1f67,0x1fa7
Α,0x1fbc
0x1f08,0x1f88
0x1f09,0x1f89
0x1f0a,0x1f8a
0x1f0b,0x1f8b
0x1f0c,0x1f8c
0x1f0e,0x1f8e
0x1f0f,0x1f8f
Η,0x1fcc
0x1f28,0x1f98
0x1f29,0x1f99
0x1f2a,0x1f9a
0x1f2b,0x1f9b
0x1f2c,0x1f9c
0x1f2e,0x1f9e
0x1f2f,0x1f9f
Ω,0x1ffc
0x1f68,0x1fa8
0x1f69,0x1fa9
0x1f6a,0x1faa
0x1f6b,0x1fab
0x1f6c,0x1fac
0x1f6e,0x1fae
0x1f6f,0x1faf
