1	1	N3I	NSF	13442	Ὅρασις	ὁρασις	ορασις	ὅρασις			,	O(/RASIS	O(/RASIS
1	1	RR	ASF	14	ἣν	ἡν	ην	ὅς				H(\N	O(/S
1	1	VBI	AAI3S	633473	εἶδεν	εἰδεν	ειδεν	ὁράω				EI)=DEN	O(RA/W
1	1	N	NSM	9346	Ησαιας	ησαιας	ησαιας	Ἡσαΐας				*HSAIAS	*HSAIAS
1	1	N2	NSM	9346	υἱὸς	υἱος	υιος	υἱός				UI(O\S	UI(O/S
1	1	N	GSM	9538	Αμως	αμως	αμως	Ἀμώς			,	*AMWS	*AMWS
1	1	RR	ASF	14	ἣν	ἡν	ην	ὅς				H(\N	O(/S
1	1	VBI	AAI3S	633473	εἶδεν	εἰδεν	ειδεν	ὁράω				EI)=DEN	O(RA/W
1	1	D		9	κατὰ	κατα	κατα	κατά				KATA\	KATA/
1	1	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	1	N1A	GSF	13634	Ιουδαίας	ιουδαιας	ιουδαιας	Ἰουδαία				*IOUDAI/AS	*I)OUDAI/A
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	D		9	κατὰ	κατα	κατα	κατά				KATA\	KATA/
1	1	N	GSF	13634	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ				*IEROUSALHM	*I)EROUSALH/M
1	1	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	1	N1A	DSF	13698	βασιλείᾳ	βασιλεια	βασιλεια	βασιλεία				BASILEI/A|	BASILEI/A
1	1	N1T	GSM	9538	Οζιου	οζιου	οζιου	Ὀζίας				*OZIOU	*OZIAS
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	N	GSM	9538	Ιωαθαμ	ιωαθαμ	ιωαθαμ	Ἰωάθαμ				*IWAQAM	*IWAQAM
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	N	GSM	9538	Αχαζ	αχαζ	αχαζ	Ἀχάζ				*AXAZ	*AXAZ
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	N2	GSM	9538	Εζεκιου	εζεκιου	εζεκιου	Ἐζεκίας			,	*EZEKIOU	*EZEKIAS
1	1	RR	NPM	14	οἳ	οἱ	οι	ὅς				OI(\	O(/S
1	1	VAI	AAI3P	895617	ἐβασίλευσαν	ἐβασιλευσαν	εβασιλευσαν	βασιλεύω				E)BASI/LEUSAN	BASILEU/W
1	1	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	1	N1A	GSF	13634	Ιουδαίας	ιουδαιας	ιουδαιας	Ἰουδαία			.	*IOUDAI/AS	*I)OUDAI/A
1	2	V1	PAD2S	632001	Ἄκουε	ἀκουε	ακουε	ἀκούω			,	A)/KOUE	A)KOU/W
1	2	N2	VSM	9410	οὐρανέ	οὐρανε	ουρανε	οὐρανός			,	OU)RANE/	OU)RANO/S
1	2	C		4	καὶ	και	και	καί				KAI\	KAI/
1	2	V1	PMD2S	636097	ἐνωτίζου	ἐνωτιζου	ενωτιζου	ἐνωτίζομαι			,	E)NWTI/ZOU	W)TI/ZOMAI       E)N
1	2	N1	VSF	13506	γῆ	γη	γη	γῆ			,	GH=	GH=
1	2	C		4	ὅτι	ὁτι	οτι	ὅτι				O(/TI	O(/TI
1	2	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος				KU/RIOS	KU/RIOS
1	2	VAI	AAI3S	633473	ἐλάλησεν	ἐλαλησεν	ελαλησεν	λαλέω			·	E)LA/LHSEN	LALE/W
1	2	N2	APM	9986	υἱοὺς	υἱους	υιους	υἱός				UI(OU\S	UI(O/S
1	2	VAI	AAI1S	600705	ἐγέννησα	ἐγεννησα	εγεννησα	γεννάω				E)GE/NNHSA	GENNA/W
1	2	C		4	καὶ	και	και	καί				KAI\	KAI/
1	2	VA	AAI1S	600705	ὕψωσα	ὑψωσα	υψωσα	ὑψόω			,	U(/YWSA	U(YO/W
1	2	RD	NPM	11	αὐτοὶ	αὐτοι	αυτοι	αὐτός				AU)TOI\	AU)TO/S
1	2	X		5	δέ	δε	δε	δέ				DE/	DE/
1	2	RP	AS	13	με	με	με	μέ				ME	E)GW/
1	2	VAI	AAI3P	895617	ἠθέτησαν	ἠθετησαν	ηθετησαν	ἀθετέω			.	H)QE/THSAN	A)QETE/W
1	3	VZI	AAI3S	633473	ἔγνω	ἐγνω	εγνω	γινώσκω				E)/GNW	GIGNW/SKW
1	3	N3	NSM	9346	βοῦς	βους	βους	βοῦς				BOU=S	BOU=S
1	3	RA	ASM	10	τὸν	τον	τον	ὁ				TO\N	O(
1	3	VA	AMPASM	4864961	κτησάμενον	κτησαμενον	κτησαμενον	κτάομαι				KTHSA/MENON	KTA/OMAI
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	N2	NSM	9346	ὄνος	ὀνος	ονος	ὄνος				O)/NOS	O)/NOS
1	3	RA	ASF	10	τὴν	την	την	ὁ				TH\N	O(
1	3	N1	ASF	13570	φάτνην	φατνην	φατνην	φάτνη				FA/TNHN	FA/TNH
1	3	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	3	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος				KURI/OU	KU/RIOS
1	3	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός			·	AU)TOU=	AU)TO/S
1	3	N	NSM	9346	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ				*ISRAHL	*I)SRAH/L
1	3	X		5	δέ	δε	δε	δέ				DE/	DE/
1	3	RP	AS	13	με	με	με	μέ				ME	E)GW/
1	3	D		9	οὐκ	οὐκ	ουκ	οὐ				OU)K	OU)
1	3	VZI	AAI3S	633473	ἔγνω	ἐγνω	εγνω	γινώσκω			,	E)/GNW	GIGNW/SKW
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	3	N2	NSM	9346	λαός	λαος	λαος	λαός				LAO/S	LAO/S
1	3	RP	AS	13	με	με	με	μέ				ME	E)GW/
1	3	D		9	οὐ	οὐ	ου	οὐ				OU)	OU)
1	3	VHI	AAI3S	633473	συνῆκεν	συνηκεν	συνηκεν	συνίημι			.	SUNH=KEN	I(/HMI           SUN
1	4	I		6	οὐαὶ	οὐαι	ουαι	οὐαί				OU)AI\	OU)AI/
1	4	N3E	NSN	17538	ἔθνος	ἐθνος	εθνος	ἔθνος				E)/QNOS	E)/QNOS
1	4	A1B	NSN	17539	ἁμαρτωλόν	ἁμαρτωλον	αμαρτωλον	ἁμαρτωλός			,	A(MARTWLO/N	A(MARTWLO/S
1	4	N2	NSM	9346	λαὸς	λαος	λαος	λαός				LAO\S	LAO/S
