a	absolute
adjv	adjective
advb	adverb
art	article
c	construct
conj	conjunction
du	dual
e	emphatic
f	feminine
hif	Hiph'il
hit	Hithpa'el
hof	Hoph'al
htpo	Hithpo'el
impf	imperfect
impv	imperative
infa	infinitive (absolute)
infc	infinitive (construct)
inrg	interrogative particle
intj	interjection
m	masculine
NA	not applicable
nega	negative particle
nif	Niph'al
nmpr	proper noun
p1	first person
p2	second person
p3	third person
perf	perfect
piel	Pi'el
pl	plural
poal	Po'al
poel	Po'el
prde	demonstrative pronoun
prep	preposition
prin	interrogative pronoun
prps	personal pronoun
ptca	participle (active)
ptcp	participle (passive)
pual	Pu'al
qal	Qal
rt	article
sg	singular
subs	noun
unknown	unknown
verb	verb
tif	*1Tiph'al
afel	*1Haph'el
etpa	*1Hethpa'al 
etpe	*1Hethpe'el
hotp	*1Hothpa'al
hsht	*1Hishtaph'al
htpa	*1Hithpe'el
htpe	*1Hithpe'el
haf	*1Haph'el 
pael	*1Pa'el 
pasq	*1Passive Qal
peal	*1Pe'al
nit	*1Nithpa'el
peil	*1Pe'il
shaf	*1Shaph'el
wayq	verb with vav consecutive
u	unknown
prs	with affixed personal pronoun
	
	
	
	
	
	
	
	
	
	
	
	
